Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,,UI_Tester
OFFICER_FILTER, Text,,Officer Class Filter,,Filtre Classe Officier,,,,,,
CLASS_OFFICER_NAME, Text,,OFFICER,,OFFICIER,,,,,,
OFFICER_DESCRIPTION, Text,,A tactical support unit specialised in leading their squad at the expense of personal firepower,,Unité de soutien tactique spécialisée dans l'encadrement de l'escouade au détriment de la puissance de feu personnelle.,,,,,,
CLASS_OFFICER_DESCRIPTION, Text,,Officer Class Soldier,,Soldat de classe officier,,,,,,
OFFICER_PROFICIENCY_NAME, Text,,OFFICER TRAINING,,ENTRAINEMENT d'OFFICIER,,,,,,
OFFICER_PROFICIENCY_DESCRIPTION, Text,,Proficiency with PDWs and Handguns,,Maîtrise des armes de poing et des PDWs,,,,,,
TRIGGERDISCIPLINE_NAME, Text,,TRIGGER DISCIPLINE,,DISCIPLINE DE TIR,,,,,,
TRIGGERDISCIPLINE_DESC, Text,,Allies within 7 tiles gain 20% accuracy.,,Les alliés situés dans un rayon de 7 cases gagnent 20 % de précision,,,,,,
RALLY_NAME, Text,,RALLY,,RALLIEMENT,,,,,,
RALLY_DESC, Text,,Target ally within 10 tiles recovers 25% of their maximum Will Points and gains panic immunity for the next turn. Limited to one use per ally per turn.,,L'allié ciblé dans un rayon de 10 cases récupère 25 % de son maximum de points de Volonté et bénéficie d'une immunité contre la panique pour le tour suivant. Limité à une utilisation par allié et par tour.,,,,,,
RESILIENCETRAINING_NAME, Text,,"RESILIENCE TRAINING",,"FORMATION À LA RÉSILIENCE",,,,,,
RESILIENCETRAINING_DESC, Text,,"Allied units gain 50% Damage Resistance while using Recover and their disabled limbs are restored at the start of their next turn. Reduces the Action Point cost of using Recover by 1.",,"Les unités alliées gagnent 50% de résistance aux dégâts lorsqu'elles utilisent Récupération et leurs membres invalides sont restaurés au début de leur prochain tour. Réduit de 1 le coût en points d'action de l'utilisation de Récupération.",,,,,,
RESILIENCEEFFECTS_DESC, Text,,"Gain 50% Damage Resistance. Disabled Limbs are restored at the start of the next turn.",,"Gagne 50% de résistance aux dégâts. Les membres invalides sont restaurés au début du tour suivant.",,,,,,
RESILIENCE_DR_DESC, Text,,Incoming damage is reduced by 50%.,,Les dégâts reçus sont réduits de 50 %.,,,,,,
RESILIENCE_HEAL_DESC, Text,,Restore Disabled Limbs at the start of the next turn.,,Restaure les membres invalides au début du prochain tour.,,,,,,
FIELDCOMMANDER_NAME, Text,,FIELD COMMANDER,,COMMANDANT DE TERRAIN,,,,,,
FIELDCOMMANDER_DESC, Text,,Allied units earn an additional 50 experience and 1 Skill Point for successful missions.,,Les unités alliées gagnent 50 points d'expérience et 1 point de compétence supplémentaires pour les missions réussies.,,,,,,
ONSLAUGHT_DESC, Text,,Target ally within 10 tiles recovers 2 Action Points. Limited to one use per ally per turn.,,L'allié ciblé dans un rayon de 10 cases récupère 2 points d'action. Limité à une utilisation par allié et par tour.,,,,,,
COOLUNDERPRESSURE_NAME, Text,,COOL UNDER PRESSURE,,CALME SOUS LA PRESSION,,,,,,
COOLUNDERPRESSURE_DESC, Text,,"Gain 2% Accuracy and 1% Damage for each Will Point spent or lost, up to a maximum of 15 stacks. Stacks reset at the end of your turn.",,"Gagne 2% de précision et 1% de dégâts pour chaque point de volonté dépensé ou perdu, jusqu'à un maximum de 15 points. Les points sont réinitialisées à la fin de votre tour.",,,,,,
DEADEYE_NAME, Text,,DEADEYE,,DEADEYE,,,,,,
DEADEYE_DESC, Text,,"Take a shot with +50% accuracy and 2x body-part damage. Limited to single shot direct fire weapons.",,"Tirez avec +50% de précision et 2x les dégâts aux parties du corps. Limité aux armes de tir direct à un coup.",,,,,,
PX_PDW_NAME, Text,,Poseidon-90,,Poseidon-90,,,,,,
PX_PDW_DESC, Text,,Phoenix Standard PDW,,Phoenix PDW Standard,,,,,,
AMMO_PX_PDW_MAGAZINE_NAME, Text,,Poseidon-90 Magazine,,Chargeur Poseidon-90,,,,,,
AMMO_PX_PDW_MAGAZINE_DESC, Text,,Phoenix Standard PDW Magazine,,Chargeur Phoenix PDW Standard,,,,,,
PX_OFFICERTRAINING_NAME, Text,,Officer Training Programme,,Programme d'Entrainement d'Officier,,,,,,
PX_OFFICERTRAINING_UNLOCK, Text,,"As the Phoenix Project expands its reach across the globe, the need for effective battlefield leadership to combat the Pandoran menace has never been greater.",,"Alors que le Projet Phoenix s'étend à travers le monde, le besoin d'un leadership efficace sur le champ de bataille pour combattre la menace pandorienne n'a jamais été aussi grand.",,,,,,
